query_name,sources,start,end,duration_seconds,http_requests,produced_results,results_count,error
13_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-28T09:40:29.066906,2025-10-28T09:41:15.782347,46.715441,24.0,True,8584,None
20_search_chemical_names_in_japanese_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://data.allie.dbcls.jp/sparql']",2025-10-28T09:41:16.783352,2025-10-28T09:42:12.174638,55.391286,16.0,False,0,DEBUG: Server reported client-side error
12_ns.rq,"['https://sparql.rhea-db.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-28T09:42:13.175642,2025-10-28T09:42:28.399685,15.224043,17.0,True,52700,None
emi#examples011b_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-28T09:42:29.400695,2025-10-28T09:42:33.518426,4.117731,4.0,False,0,DEBUG: Server-side error encountered
15-rat-TP53-biosodafrontend_ns.rq,"['https://sparql.omabrowser.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-28T13:17:51.680235,2025-10-28T13:19:12.838650,81.158415,62.0,False,0,DEBUG: Server-side error encountered
118_biosodafrontend_rat_brain_human_cancer_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.omabrowser.org/sparql', 'https://www.bgee.org/sparql']",2025-10-28T13:19:13.839639,2025-10-29T06:52:14.546665,63180.707026,1852.0,False,0,DEBUG: Server-side error encountered
emi#examples018_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-29T06:52:15.547784,2025-10-29T06:52:19.763740,4.215956,4.0,False,0,DEBUG: Server-side error encountered
116_biosodafrontend_rabit_mouse_orthologs_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.omabrowser.org/sparql']",2025-10-29T06:52:20.764748,2025-10-29T06:52:26.222035,5.457287,19.0,False,0,fetch failed
117_biosodafrontend_glioblastoma_orthologs_rat_ns.rq,"['https://sparql.uniprot.org/sparql', 'https://sparql.omabrowser.org/sparql', 'https://www.bgee.org/sparql']",2025-10-29T06:52:27.222780,2025-10-29T06:52:34.615586,7.392806,44.0,False,0,fetch failed
emi#examples015_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-29T06:52:35.616617,2025-10-29T06:52:39.743935,4.127318,4.0,False,0,DEBUG: Server-side error encountered
emi#examples012_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-29T06:52:40.744969,2025-10-29T06:52:44.891427,4.146458,5.0,False,0,DEBUG: Server-side error encountered
emi#examples013_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-29T06:52:45.892435,2025-10-29T06:52:49.988915,4.09648,5.0,False,0,DEBUG: Server-side error encountered
007_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://query.wikidata.org/sparql']",2025-10-29T06:52:50.989939,2025-10-29T06:52:55.112436,4.122497,4.0,False,0,DEBUG: Server-side error encountered
emi#examples021_ns.rq,"['https://biosoda.unil.ch/emi/sparql', 'https://qlever.cs.uni']",2025-10-29T06:52:56.113452,2025-10-29T06:53:00.273916,4.160464,4.0,False,0,DEBUG: Server-side error encountered
028-biosodafrontend_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-29T06:53:01.274903,2025-10-29T06:54:40.219452,98.944549,54.0,False,0,Aborted
027-biosodafrontend_ns.rq,"['https://www.bgee.org/sparql', 'https://sparql.uniprot.org/sparql']",2025-10-29T06:54:41.220414,2025-10-29T06:56:22.369923,101.149509,49.0,False,0,Aborted
